id_projetos,regiao,cidade,data_inicio,vigencia,data_fim,possui_startup,relacionamento_formal_startup,TRL,numero_TRL,recursos_total,recursos_bolsa,recursos_capital,recursos_custeio,quantidade_bolsas,bolsas_ITC_A,bolsas_ITC_B,bolsas_DTC_A,bolsas_DTC_B,bolsas_DTC_C,bolsas_DTC_D,bolsas_DTC_E,bolsas_DTC_F
Projeto 01,Sul,Novaponte,01/01/2023,24,1/1/2025,Sim,Sim,"TRL 5, 6 e 7 - Tecnologias que estão sendo testadas em ambiente controlado já no cliente, sendo aplicada aos primeiros 5 clientes em modelo Beta.",6,"R$ 288.676,00","R$ 173.205,60","R$ 72.169,00","R$ 43.301,40",8,3,0,1,0,2,0,0,2
Projeto 02,Nordeste,Nova Aurelia,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,3,"R$ 764.411,00","R$ 458.646,60","R$ 191.102,75","R$ 114.661,65",9,0,0,0,1,1,0,0,7
Projeto 03,Sul,Novaponte,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,4,"R$ 322.578,00","R$ 193.546,80","R$ 80.644,50","R$ 48.386,70",5,2,0,0,2,0,1,0,0
Projeto 04,Sul,Aquamar,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,4,"R$ 522.421,00","R$ 313.452,60","R$ 130.605,25","R$ 78.363,15",6,2,0,0,0,0,2,1,1
Projeto 05,Nordeste,Cidade Jardim,01/01/2023,24,1/1/2025,Sim,Sim,TRL 0 - Apenas uma ideia,0,"R$ 950.057,00","R$ 570.034,20","R$ 237.514,25","R$ 142.508,55",4,0,0,0,2,1,0,0,1
Projeto 06,Centro-Oeste,Arkadia,01/01/2023,24,1/1/2025,Sim,Sim,TRL 1 e 2 - Tecnologias que ainda são apenas conceitos e estudos,1,"R$ 768.331,00","R$ 460.998,60","R$ 192.082,75","R$ 115.249,65",5,0,0,0,1,1,0,2,1
Projeto 07,Sul,Arctopia,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,3,"R$ 920.513,00","R$ 552.307,80","R$ 230.128,25","R$ 138.076,95",12,0,8,0,0,0,0,4,0
Projeto 08,Sul,Arctopia,01/01/2023,24,1/1/2025,Sim,Sim,TRL 1 e 2 - Tecnologias que ainda são apenas conceitos e estudos,1,"R$ 252.139,00","R$ 151.283,40","R$ 63.034,75","R$ 37.820,85",12,8,0,1,0,1,2,0,0
Projeto 09,Nordeste,Skypolis,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,3,"R$ 512.099,00","R$ 307.259,40","R$ 128.024,75","R$ 76.814,85",8,4,0,0,0,0,0,0,4
Projeto 10,Sul,Starfall,01/01/2023,24,1/1/2025,Não,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,4,"R$ 673.429,00","R$ 404.057,40","R$ 168.357,25","R$ 101.014,35",5,2,0,0,0,0,0,3,0
Projeto 11,Nordeste,Cidade Jardim,01/01/2023,24,1/1/2025,Não,Sim,TRL 1 e 2 - Tecnologias que ainda são apenas conceitos e estudos,2,"R$ 689.739,00","R$ 413.843,40","R$ 172.434,75","R$ 103.460,85",12,9,0,1,1,0,1,0,0
Projeto 12,Nordeste,Portodouro,01/01/2023,24,1/1/2025,Sim,Sim,TRL 1 e 2 - Tecnologias que ainda são apenas conceitos e estudos,2,"R$ 315.192,00","R$ 189.115,20","R$ 78.798,00","R$ 47.278,80",6,2,0,1,1,2,0,0,0
Projeto 13,Centro-Oeste,Dourados,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,4,"R$ 837.070,00","R$ 502.242,00","R$ 209.267,50","R$ 125.560,50",6,0,0,0,1,5,0,0,0
Projeto 14,Sul,Novaponte,01/01/2023,24,1/1/2025,Sim,Sim,TRL 1 e 2 - Tecnologias que ainda são apenas conceitos e estudos,2,"R$ 426.770,00","R$ 256.062,00","R$ 106.692,50","R$ 64.015,50",14,5,4,0,0,0,2,0,3
Projeto 15,Sul,Arctopia,01/01/2023,24,1/1/2025,Sim,Sim,TRL 0 - Apenas uma ideia,0,"R$ 356.628,00","R$ 213.976,80","R$ 89.157,00","R$ 53.494,20",4,0,0,1,0,0,0,3,0
Projeto 16,Nordeste,Neo-Atlântida,01/01/2023,24,1/1/2025,Sim,Sim,"TRL 5, 6 e 7 - Tecnologias que estão sendo testadas em ambiente controlado já no cliente, sendo aplicada aos primeiros 5 clientes em modelo Beta.",7,"R$ 594.219,00","R$ 356.531,40","R$ 148.554,75","R$ 89.132,85",6,1,0,0,0,1,2,2,0
Projeto 17,Sul,Montecéu,01/01/2023,24,1/1/2025,Sim,Sim,TRL 3 e 4 - Tecnologias que já estão sendo testadas em laboratório e conseguem gerar resultados baseado em amostras controladas de dados.,4,"R$ 443.741,00","R$ 266.244,60","R$ 110.935,25","R$ 66.561,15",6,2,0,0,1,0,3,0,0
